từ vựng,từ loại,hán việt,tiếng việt,pinyin,lục thư,chiết tự,mở rộng,bút thuận,level,bài
我,đại từ,ngã,"tôi, ta",wǒ,Chỉ sự (giả tá thuyết),Tay (手) cầm giáo (戈) → tự chỉ bản thân.,"我们 (wǒmen - chúng tôi), 自我 (zìwǒ - bản ngã).",https://bishun.net/assets/bishun/donghua/bishundonghua-25105.gif,HSK1,bài 01
你,đại từ,nhĩ,bạn (ngôi 2 số ít),nǐ,Hình thanh,Bộ Nhân (亻) + chữ Nhĩ (尔 - “cậu/ấy”).,"你们 (nǐmen - các bạn), 你的 (nǐde - của bạn).",https://bishun.net/assets/bishun/donghua/bishundonghua-20320.gif,HSK1,bài 01
您,đại từ,nâm,bạn,nín,Hội ý + Hình thanh,Bộ Tâm (心) phía dưới chữ Nhĩ (你) → “cậu ở trong lòng” → kính ngữ.,"Chỉ dùng để bày tỏ sự tôn kính (với người già, cấp trên). Số nhiều là 您们 (nínmen) - ít dùng.",https://bishun.net/assets/bishun/donghua/bishundonghua-24744.gif,HSK1,bài 01
好,tính từ,hảo,"tốt, đẹp, hay",hǎo,Hội ý,"Con gái (女) + con trai (子) → mẹ + con → sự hòa hợp, êm đẹp.","好人 (hǎorén - người tốt), 好吃 (hǎochī - ngon), 你好 (nǐhǎo - xin chào).",https://bishun.net/assets/bishun/donghua/bishundonghua-22909.gif,HSK1,bài 01
他,đại từ,tha,"anh ấy, ông ấy",tā,Hình thanh,Bộ Nhân (亻) + chữ Dã (也 - “cũng”).,"他们 (tāmen - họ - nam / hỗn hợp), 其他 (qítā - cái khác).",https://bishun.net/assets/bishun/donghua/bishundonghua-20182.gif,HSK1,bài 01
她,đại từ,tha,"cô ấy, bà ấy",tā,Hình thanh,Bộ Nữ (女) + chữ Dã (也).,她们 (tāmen - họ - nữ). Đây là chữ được tạo thời cận đại để dịch “she” phương Tây.,https://bishun.net/assets/bishun/donghua/bishundonghua-22905.gif,HSK1,bài 01
它,đại từ,tha,"nó (vật, con vật)",tā,Hình thanh,Bộ Miên (宀 - mái nhà) + chữ Dã (也).,"它们 (tāmen - chúng nó - vật, con vật), 其它 (qítā - cái khác - thay 其他).",https://bishun.net/assets/bishun/donghua/bishundonghua-23427.gif,HSK1,bài 01
对,hỗn,đối,"đúng, với, hướng v",duì,Hội ý,"Tay (又) cầm một ngọn nến (丵) và cây bút (寸) → đối ứng, chính xác.","对不起 (duìbuqǐ - xin lỗi), 对错 (duìcuò - đúng sai), 一对 (yīduì - một cặp).",https://bishun.net/assets/bishun/donghua/bishundonghua-23545.gif,HSK1,bài 01
不,phó từ,bất,"không, chẳng",bù,Chỉ sự,"Mô tả rễ cây lật ngược lên trên → từ chối, phủ định.","不好 (bùhǎo - không tốt), 不客气 (búkèqi - không có gì / đừng khách sáo).",https://bishun.net/assets/bishun/donghua/bishundonghua-19981.gif,HSK1,bài 01
起,động từ,khởi,"đứng lên, bắt đầu, lên",qǐ,Hình thanh,Bộ Tẩu (走 - chạy) + chữ Kỷ (己 - chính mình) → đứng lên từ chính mình.,"起来 (qǐlai - đứng dậy, làm lên), 对不起 (khởi + bất + 起?). Thực ra 对不起 = đối + bất + khởi = không thể đối diện được.",https://bishun.net/assets/bishun/donghua/bishundonghua-36215.gif,HSK1,bài 01
没,phó từ,một,"không có, chưa",méi,Hình thanh,Bộ Thủy (氵 - nước) + chữ Một (殳 - chìm vào nước) → biến mất.,"没有 (méiyǒu - không có), 没事 (méishì - không sao). Phân biệt: 不 (chủ quan) vs 没 (khách quan).",https://bishun.net/assets/bishun/donghua/bishundonghua-27809.gif,HSK1,bài 01
关,động từ,quan,"đóng, quan hệ",guān,Hội ý,Hai thanh gỗ (丷) + then cài (㇇ + 天) → cài cửa lại.,"关门 (guānmén - đóng cửa), 开关 (kāiguān - công tắc), 关系 (guānxì - quan hệ).",https://bishun.net/assets/bishun/donghua/bishundonghua-20851.gif,HSK1,bài 01
系,động từ,hệ,"buộc, hệ thống, liên quan",xì,Hội ý + Hình thanh,Một mớ tơ (纟) + người biết canh tác (丿+关系简化).,"关系 (guānxì - liên quan), 系统 (xìtǒng - hệ thống), 系列 (xìliè - hàng loạt).",https://bishun.net/assets/bishun/donghua/bishundonghua-31995.gif,HSK1,bài 01
